연도,역명,승차총승객수,하차총승객수,총이용량
2022,신도림,48182,47848,96030
2022,대림,23870,24356,48226
2022,구로디지털단지,60224,60333,120557
2022,신대방,26493,25795,52288
2022,신림,64508,63198,127706
2022,봉천,24029,22448,46477
2022,사당,38617,42109,80726
2022,방배,16490,17151,33641
2022,교대,35779,40689,76468
2022,강남,92932,91167,184099
2022,삼성,56085,56247,112332
2022,잠실,70855,69615,140470
2022,잠실나루,14987,14366,29353
2022,구의,24357,24180,48537
2022,건대입구,37184,39631,76815
2022,성수,38604,41760,80364
2022,한양대,6751,6987,13738
2022,왕십리,16154,13329,29483
2022,상왕십리,14523,14192,28715
2022,신당,14019,14446,28465
2022,시청,23783,22915,46698
2022,용두,1802,1872,3674
2022,양천구청,4165,4338,8503
2022,신설동,3456,3578,7034
2022,용답,2034,2034,4068
2022,충정로,5515,5854,11369
2022,아현,7086,6639,13725
2022,이대,9315,9935,19250
2022,홍대입구,63399,66290,129689
2022,합정,28460,30303,58763
2022,당산,11798,13361,25159
2022,영등포구청,12760,13427,26187
2022,문래,11744,12547,24291
2022,신도림,38224,38760,76984
2022,시청,8444,7588,16032
2022,대림,16973,18046,35019
2022,구로디지털단지,33563,32984,66547
2022,신대방,19185,18438,37623
2022,신림,49464,48148,97612
2022,봉천,17091,15840,32931
2022,사당,30064,32649,62713
2022,방배,9610,10034,19644
2022,교대,16627,18904,35531
2022,강남,62465,61334,123799
2022,삼성,32095,31891,63986
2022,잠실,62632,59632,122264
2022,잠실나루,7072,6924,13996
2022,구의,16009,15875,31884
2022,건대입구,33819,36161,69980
2022,성수,19625,21745,41370
2022,한양대,3162,3182,6344
2022,왕십리,12759,10681,23440
2022,상왕십리,9668,9436,19104
2022,신당,10598,11232,21830
2022,시청,5496,4478,9974
2022,신당,7702,8249,15951
2022,상왕십리,6585,6569,13154
2022,왕십리,8770,7440,16210
2022,한양대,2244,2381,4625
2022,성수,13693,14782,28475
2022,건대입구,26000,26891,52891
2022,구의,11127,11341,22468
2022,잠실나루,4828,4870,9698
2022,잠실,46400,43069,89469
2022,삼성,21348,20506,41854
2022,강남,35304,33656,68960
2022,교대,9695,10548,20243
2022,방배,6479,6889,13368
2022,사당,20511,22655,43166
2022,봉천,11753,11240,22993
2022,신림,35605,35342,70947
2022,신대방,14337,13949,28286
2022,구로디지털단지,22260,21887,44147
2022,대림,13772,14012,27784
2022,신도림,26144,26681,52825
2022,문래,7514,7800,15314
2022,영등포구청,7427,7712,15139
2022,당산,7942,8701,16643
2022,합정,20462,21316,41778
2022,홍대입구,48221,47073,95294
2022,이대,6505,6987,13492
2022,아현,4975,5010,9985
2022,충정로,3984,4224,8208
2022,용답,1605,1698,3303
2022,신설동,3018,3214,6232
2022,양천구청,3112,3189,6301
2022,용두,1174,1164,2338
2022,한양대,6735,7138,13873
2022,신대방,25842,25183,51025
2022,신림,61664,60370,122034
2022,봉천,23519,22260,45779
2022,사당,34740,37793,72533
2022,방배,16018,16620,32638
2022,교대,33998,38309,72307
2022,강남,87455,85914,173369
2022,삼성,51731,52110,103841
2022,잠실,65603,65223,130826
2022,잠실나루,14717,14353,29070
2022,구의,23327,23137,46464
2022,건대입구,33272,35081,68353
2022,성수,38072,40892,78964
2022,왕십리,15088,12382,27470
2022,상왕십리,14008,13747,27755
2022,신당,13272,13689,26961
2022,시청,23356,22691,46047
2022,용두,2578,2704,5282
2022,양천구청,6740,7119,13859
2022,신설동,3259,3414,6673
2022,용답,2643,2621,5264
2022,충정로,9811,10317,20128
2022,아현,9899,9503,19402
2022,이대,12397,13002,25399
2022,홍대입구,49818,50731,100549
2022,합정,29409,30278,59687
2022,당산,17910,20787,38697
2022,영등포구청,23502,24051,47553
2022,문래,21413,21805,43218
2022,신도림,45960,45048,91008
2022,대림,23866,24506,48372
2022,구로디지털단지,59992,60197,120189
2022,구의,23800,23661,47461
2022,건대입구,33503,35380,68883
2022,성수,38914,41723,80637
2022,한양대,6611,6959,13570
2022,왕십리,15280,12865,28145
2022,상왕십리,14104,13925,28029
2022,신당,13655,14251,27906
2022,시청,24495,23416,47911
2022,용두,2461,2576,5037
2022,양천구청,6934,7325,14259
2022,신설동,3243,3388,6631
2022,용답,2618,2647,5265
2022,충정로,9924,10414,20338
2022,이대,12463,13282,25745
2022,홍대입구,50950,51776,102726
2022,합정,30529,31710,62239
2022,당산,18259,21084,39343
2022,영등포구청,23710,24357,48067
2022,문래,22017,22328,44345
